Day,Month,Group-ID,Bout-ID,Tree ID ,Tree Local name,Tree Genus,Tree Species,Tree family,Individuum-ID,Behaviour code ,size-sugar,hardness-sugar,colour1-sugar,colour2-sugar,scent1-sugar,scent2-sugar,variation-size,variation-hardness,variation-colour1,variation-colour2,variation-scent 
28,6,1,9,A3,Guave,Psidium,cattleianum,Murtaceae,3,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,10,A3,Guave,Psidium,cattleianum,Murtaceae,1,T,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,10,A3,Guave,Psidium,cattleianum,Murtaceae,2,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,10,A3,Guave,Psidium,cattleianum,Murtaceae,3,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,11,A3,Guave,Psidium,cattleianum,Murtaceae,1,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,11,A3,Guave,Psidium,cattleianum,Murtaceae,2,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,11,A3,Guave,Psidium,cattleianum,Murtaceae,3,T,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,12,A3,Guave,Psidium,cattleianum,Murtaceae,1,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,12,A3,Guave,Psidium,cattleianum,Murtaceae,2,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,12,A3,Guave,Psidium,cattleianum,Murtaceae,3,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,13,A3,Guave,Psidium,cattleianum,Murtaceae,1,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,13,A3,Guave,Psidium,cattleianum,Murtaceae,2,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
28,6,1,13,A3,Guave,Psidium,cattleianum,Murtaceae,3,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,14,A4,Guave,Psidium,cattleianum,Murtaceae,1,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,14,A4,Guave,Psidium,cattleianum,Murtaceae,2,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,14,A4,Guave,Psidium,cattleianum,Murtaceae,3,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,15,A4,Guave,Psidium,cattleianum,Murtaceae,1,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,15,A4,Guave,Psidium,cattleianum,Murtaceae,2,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,15,A4,Guave,Psidium,cattleianum,Murtaceae,3,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,16,A4,Guave,Psidium,cattleianum,Murtaceae,1,T,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,16,A4,Guave,Psidium,cattleianum,Murtaceae,2,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,16,A4,Guave,Psidium,cattleianum,Murtaceae,3,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,17,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,1,R,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,17,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,2,L,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,17,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,3,L,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,18,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,1,R,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,18,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,2,S,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,18,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,3,T,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,19,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,1,R,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,19,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,2,L,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
